Day,Mon,Tue,Wed,Thurs,Fri,Sat,Sun
Breakfast,Veg Sandwich,Misal Pav,Onion Poha,Tadka Idli,Goan Bhaji,Veg Upma,Onion Poha
Breakfast,Ketchup,Farsaan,Lemon+Sev+Curd,Chutney,Pav,Chutney,Lemon+Sev+Curd
Breakfast,Boiled Egg,Boiled Egg,Boiled Egg,Boiled Egg,Boiled Egg,Boiled Egg,Boiled Egg
Breakfast,Bread+Butter+Jam,Bread+Butter+Jam,Bread+Butter+Jam,Bread+Butter+Jam,Bread+Butter+Jam,Bread+Butter+Jam,Bread+Butter+Jam
Breakfast,Bournvita,Bournvita,Bournvita,Bournvita,Bournvita,Bournvita,Bournvita
Breakfast,Hot & Cold Milk,Hot & Cold Milk,Hot & Cold Milk,Hot & Cold Milk,Hot & Cold Milk,Hot & Cold Milk,Hot & Cold Milk
Breakfast,Tea & Coffee,Tea & Coffee,Tea & Coffee,Tea & Coffee,Tea & Coffee,Tea & Coffee,Tea & Coffee
Breakfast,Cornflakes,Cornflakes,Cornflakes,Cornflakes,Cornflakes,Cornflakes,Cornflakes
Lunch,Dahi Kadi,Spicy Matar Masala,Moong Usal,Dum Aloo Gravy,Methi Matar Masala,Veg Makhanwala,Aloo Methi
Lunch,Beans Dry,Soya Masala Dry,Dum Bhindi,Gobhi Dry,Aloo Chakli,Beans Dry,Soya Biryani
Lunch,Dal Tadka,Dal Fry,Dal Kolhapuri,Dal Tadka,Masoor Dal,Dal Lasooni,Dal Fry
Lunch,Plain Rice,Rice,Sweet Corn Pulao,Plain Rice,Jeera Rice,Rice,Plain Rice
Lunch,Chapati,Chapati,Chapati,Puri + Chapati,Chapati,Chapati,Chapati
Lunch,Roasted Papad,Roasted Papad,Roasted Papad,Fryums,Roasted Papad,Roasted Papad,Roasted Papad
Lunch,Green Salad,Mix Salad,Sprout Moong Salad,Toss Salad,Toss Salad,Carrot- Beetroot Salad,*******
Lunch,Plain Curd,*******,Plain Curd,*******,Plain Curd,*******,Plain Curd
Lunch,*******,Punjabi Lassi,*******,Fresh Lime Water,*******,Buttermilk,*******
Lunch,Sevai Kheer,Gulab Jamun,Mohantal,Shrikhand,Malai Sandwich,Boondi Laddoo,*******
Snacks,Bhel,Masala Maggie,Sandwich,Dabeli,Bhel,Vada pav,Chowmein
Snacks,Tea & Coffee,Tea & Coffee,Tea & Coffee,Tea & Coffee,Tea & Coffee,Tea & Coffee,Tea & Coffee
Dinner,Mutter Paneer,Mixed Veg Dry,Paneer Biryani,Veg Kolhapuri,Paneer Lazeez,Green Peas Masala,Pindi Chhole
Dinner,Jeera Rice,Biryani Rice,Aloo Capsicum,Dudhi Channa,Pumpkin Dry,Baingan Bharta,Kulche
Dinner,Dal Fry,Dal Fry,Dal lasooni,Dal Fry,Dal Tadka,Dal Kolhapuri,Dahi Sev Puri
Dinner,Plain Rice,Plain Rice,*******,Plain Rice,Rice,Plain Rice,Khichdi/Plain Rice
Dinner,Chapati,Chapati,Chapati,Chapati,Chapati,Chapati,Chapati
Dinner,Onion Salad,Onion + Lemon,Mix Salad,Green Salad,Sirka Onion,Mix Salad,Onion Salad
Dinner,Veg Raita,*******,Plain Curd,*******,Plain Curd,*******,Choco Bite
Dinner,Egg Kolhapuri,*******,Chicken Biryani,*******,Chicken Patiala/Egg Curry,*******,*******
Dinner,Fruit,*******,Fruit,*******,Fruit,*******,*******
